,A,B,C
757,LOC,other, What is the longest place name in the U.S. ?
758,NUM,perc, What percent liked Thatcher after she had been in power for a decade ?
759,LOC,other," Where does Buzz Aldrin want to build a permanent , manned space station ?"
760,ENTY,cremat, What was Mel Gibson 's first movie ?
761,DESC,reason, Why was the L.A. office of Shea and Gould closed ?
762,DESC,manner, How do I start a bank ?
763,DESC,manner, How do Ouija Boards work ?
764,ENTY,animal, What horse did Zorro ride ?
765,DESC,manner, How do you get a broken cork out of a bottle ?
766,LOC,other, Where can I find correct tabs for Third Eye Blind songs ?
767,DESC,manner, How do you determine heating requirements for your home ?
768,HUM,ind, What former major-league left-handed baseball pitcher was known as `` Space Man '' ?
769,ENTY,product," Which hair care product told us `` hate that gray , wash it away '' ?"
770,DESC,reason, Why did the chicken cross the road ?
771,HUM,ind, What was Michelangelo 's last name ?
772,HUM,desc, Who is Barbara Jordan ?
773,HUM,ind, Who was the Democratic nominee in the American presidential election ?
774,ENTY,cremat, What was Connecticut 's first constitution called ?
775,ENTY,event, What historical event happened in Dogtown in 1899 ?
776,DESC,def, What is being done about the millennium bug ?
777,DESC,reason, What was the claim to fame of King Camp Gillette ?
778,ENTY,dismed, What is the most common kind of skin cancer in the U.S. ?
779,DESC,def, What is Olestra ?
780,LOC,country, What Asian country has a bill of rights for cows ?
781,NUM,count, How many fingers are used to draw a bow ?
782,ENTY,plant, What are two plants that clothes are made from ?
783,NUM,date, When was Hurricane Hugo ?
784,ENTY,food, What is the most heavily caffeinated soft drink ?
785,HUM,ind, What President-to-be was the first member of Congress to enlist following the attack on Pearl Harbor ?
786,NUM,money, What was the price of Varian Associates ' vacuum products division ?
787,NUM,date, When was `` the Great Depression '' ?
788,ENTY,lang, What language is mostly spoken in Brazil ?
789,HUM,gr, What college produced the most winning Super Bowl quarterbacks ?
790,DESC,manner, How do you solve `` Rubik 's Cube '' ?
791,DESC,def, What is prepared mustard ?
792,HUM,ind, What classical Spanish writer warned 
793,DESC,def, What does `` antidisestablishmentarianism '' mean ?
794,HUM,ind, What actor married John F. Kennedy 's sister ?
795,ENTY,dismed, What does a topophobic actor suffer from ?
796,HUM,ind, Who fired Maria Ybarra from her position in San Diego council ?
797,NUM,period," The italian artist , Maurizio Pellegrin , is how old ?"
798,ENTY,other, What type of hunting are retrievers used for ?
799,DESC,reason, What is Colin Powell best known for ?
800,HUM,ind, Who was the first black golfer to tee off in the Masters ?
801,LOC,city, What city is the setting for Puccini 's opera La Boheme ?
802,HUM,ind, What U.S. President showed a fondness for munching on bee pollen bars ?
803,DESC,def, What is measured in curies ?
804,HUM,ind, Whose cover is that of an employee of Universal Import and Export ?
805,HUM,ind, What former president 's daughter has written a book titled Murder in the White House ?
806,HUM,ind, What fictional character is known as the `` melancholy Dane '' ?
807,ENTY,product, Italy is the largest producer of what ?
808,HUM,ind, What longtime game show host dropped dead while jogging in Central Park in 1984 ?
809,DESC,def," What is the meaning of W.B. Yeat 's poem , `` The Three Hermits ? ''"
810,HUM,ind, Who were the `` filthiest people alive ? ''
811,ENTY,dismed, What infectious disease is the world 's deadliest ?
812,DESC,def, What is Spumante ?
813,NUM,date, In what year did Ireland elect its first woman president ?
814,DESC,def, What is an isthmus ?
815,ENTY,animal, What was the name of the orca that died of a fungal infection ?
816,LOC,other, Where is Mozambique located ?
817,ENTY,animal, What is Mississippi 's state animal ?
818,DESC,desc, What 's the origin of the word ` news ' ?
819,ENTY,other, What did Dan Aykroyd and John Belushi quit Saturday Night Live to become ?
820,NUM,count, How many months does a normal human pregnancy last ?
821,DESC,manner, How do fuel injectors work ?
822,DESC,manner, How can your school march in the Macy 's Thanksgiving Parade ?
823,HUM,ind, What is the real name of disc jockey `` Wolfman Jack '' ?
824,ENTY,veh, What Italian liner was hijacked in 1985 ?
825,LOC,city, What city houses the U.S. headquarters of Procter and Gamble ?
826,ENTY,product, What soap was touted as being `` for people who like people '' ?
827,NUM,money, How much was the minimum wage in 1991 ?
828,ABBR,exp, What does NAFTA stand for ?
829,HUM,ind, Who invented silly putty ?
830,HUM,gr," What new middle school was built in Philadelphia , Pennsylvania last year ?"
831,HUM,ind, Who patented the first phonograph ?
832,ENTY,techmeth, What are some tips for building a fire in a fireplace ?
833,ENTY,food, What do manatees eat ?
834,ENTY,termeq, How do you say 2 in Latin ?
835,ENTY,cremat, What were popular songs and types of songs in the 1920s ?
836,NUM,count, How many Vietnamese were there in the Soviet Union ?
837,ENTY,other, What is November 's birthstone ?
838,DESC,def, What is a Certified Nurse Midwife ?
839,NUM,count," On average , how many miles are there to the moon ?"
840,HUM,ind, Who created private detective Philip Marlowe ?
841,ENTY,cremat," What Boris Pasternak book sold 5 , 0 copies to become the fiction best-seller of 1958 ?"
842,DESC,desc, What is the origin of the expression `` tout de suite '' ?
843,ENTY,word, What is the longest English word ?
844,DESC,reason, What is the purpose of a car bra ?
845,DESC,reason, What is D.B. Cooper known for ?
846,HUM,desc, Who is Colin Powell ?
847,ENTY,animal, What species is a colt ?
848,ABBR,exp, What is the full name of the PLO ?
849,LOC,country, What is the smallest country in Africa ?
850,HUM,ind, Who coined the term NN cyberspace `` in his novel NN Neuromancer '' ?
851,ENTY,event, What age followed the Bronze Age ?
852,HUM,title, What is her profession ?
853,HUM,ind, What is the full name of the man who invented the multicolored game cube that has 42.3 quintillion potential combinations ?
854,ABBR,exp, What does the word LASER mean ?
855,DESC,def, What does the name `` Anthony '' mean ?
856,HUM,ind, Who was Lauren Bacall 's first husband ?
857,DESC,def, What is a rhomboideus minor ?
858,NUM,count, How many hands does Bjorn Borg use when hitting his forehand ?
859,NUM,count, How many people died on D-Day ?
860,HUM,ind, What U.S. Congressman said 
861,HUM,ind, Who created the character of Scrooge ?
862,NUM,other, What is the student population at the University of Massachusetts in Amherst ?
863,LOC,other, Where is Windsor Castle ?
864,NUM,date, When did the Dow first reach ?
865,DESC,reason, Why were people recruited for the Vietnam War ?
866,HUM,gr, What party was Winston Churchill a member of ?
867,HUM,gr, What American League baseball team 's worst finish between 1926 and 1964 was fourth ?
868,LOC,other, Where can I find the names of all the 15 Pokemon ?
869,LOC,state, What state does Martha Stewart live in ?
870,ENTY,animal, Which killer whale died at Sea World of a fungal infection ?
871,LOC,country, What are the Benelux countries ?
872,LOC,other, Where 's the Petrified Forest ?
873,ENTY,lang, What is a language spoken by the Sioux ?
874,LOC,other, Where is Tornado Alley ?
875,HUM,ind, Who was the author of `` John Brown 's Body '' ?
876,HUM,ind, What American poet wrote 
877,LOC,state, What state in the U.S. has the most blacks ?
878,DESC,reason, Why are electric cars less efficient in the northeast than in California ?
879,HUM,title, What was the occupation of Mandy Rice-Davies ?
880,LOC,city, What is the city in which Maurizio Pellegrin lives called ?
881,HUM,ind, Who painted the Sistine Chapel ?
882,HUM,ind, Name the various costumed personas of Dr. Henry Pym .
883,ENTY,animal, What breed of dog was the `` Little Rascals '' dog ?
884,DESC,desc, What are the living conditions in Cuba ?
885,ENTY,color, What color are school buses ?
886,LOC,other, What is the oldest website on the Internet ?
887,ENTY,event," What events happened January 26 , 1978 ?"
888,HUM,ind, What explorers followed Columbus to the Americas ?
889,HUM,ind, Who is actress Goldie Hawn 's current actor boyfriend ?
890,HUM,ind, Who banned Peter Rose from baseball for betting on games ?
891,DESC,def, What are the seven virtues ?
892,ENTY,termeq, What other name were the `` Little Rascals '' known as ?
893,NUM,date, When was the San Francisco fire ?
894,ENTY,dismed, What is a fear of food ?
895,NUM,count," How many casinos are in Atlantic City , NJ ?"
896,NUM,date, What year did the Vietnam War end ?
897,HUM,ind, What are the names of Richard Nixon 's two daughters ?
898,ENTY,word, What 's the word for broken glass or sharp rocks embedded in cement on top of a wall ?
899,NUM,count, What is the chromosome number of an elephant ?
900,HUM,gr, What organization was founded by the Rev. Jerry Falwell ?
901,LOC,other, What 's the longest river in the world ?
902,ENTY,food, Which soft drink does Madonna advertise for ?
903,HUM,gr, What company is being bought by Yahoo and how much is the deal worth ?
904,NUM,date, When was Berlin 's Brandenburg gate erected ?
905,NUM,count, How many double-word-score spaces are there on a Scrabble Crossword Game board ?
906,NUM,date, What year did Germany sign its nonaggression pact with the Soviet Union ?
907,LOC,mount, What mountain range is traversed by the highest railroad in the world ?
908,DESC,reason, Why were the American soldiers in WWI called `` Doughboys ''
909,HUM,ind, Who was nicknamed The Little Corporal ?
910,NUM,count, How many CDs has Garth Brooks sold ?
911,ENTY,veh, Name the vessel used by the Atari Force in the DC comics .
912,LOC,other, Where are the leading medical groups specializing in lung diseases ?
913,DESC,manner," How can I find online spelling , and punctuation drills for my 6th grader ?"
914,LOC,other, What 's the sacred river of India ?
915,LOC,country, What is Stefan Edberg 's native country ?
916,ENTY,body, What is the only gland in humans that can regenerate itself ?
917,NUM,count, How many Gutenberg Bibles are there ?
918,LOC,country, Name the largest country in South America .
919,ENTY,event, What astronomical phenomenon takes place in Jan. 1999 ?
920,DESC,desc, What information can you get me on Fairground Park in St. Louis
921,HUM,ind, What was American folk hero John Chapman 's nickname ?
922,DESC,desc, What is the difference between a median and a mean ?
923,ENTY,cremat, What was the top box office movie in April 1998 ?
924,DESC,reason, What makes thunder ?
925,HUM,ind, What author did photographer Yousuf Karsh call `` the shiest man I ever met '' ?
926,ENTY,other," Which is the largest clock , diameter wise , in Europe ?"
927,ENTY,plant, What plant is rum made from ?
928,LOC,country, What country are Godiva chocolates from ?
929,HUM,ind, Name the poet of the poem which begins 
930,ENTY,food, Which condiment was once sold as a patent medicine ?
931,LOC,state, What U.S. state records the least rainfall ?
932,DESC,reason, Why did the world enter a global depression in 1929 ?
933,DESC,def," What was archy , and mehitabel ?"
934,LOC,city, What Texas city got its name from the Spanish for `` yellow '' ?
935,ENTY,substance, What are the chemicals used in glowsticks ?
936,LOC,country, What country did the Nile River originate in ?
937,ENTY,color, What color are tennis balls ?
938,HUM,ind, What barroom judge called himself The Law West of the Pecos ?
939,DESC,desc, What excuse did the NATO people give for hitting the Chinese embassy ?
940,HUM,ind, Who was President of Costa Rica in 1994 ?
941,ENTY,sport, What sports event is Meyer Wolfsheim supposed to have fixed in The Great Gatsby ?
942,LOC,country, What country has the best defensive position in the board game Diplomacy ?
943,LOC,country, What two countries share the Khyber Pass ?
944,HUM,ind, Who was chairman of the Senate select committee that tried to get to the bottom of Watergate ?
945,DESC,desc, What is the origin of the surname of Braun ?
946,ENTY,sport," What card game has variations called Canfield , Klondike and Spider ?"
947,DESC,def, What is Australia Day ?
948,ENTY,animal, What mammal of North America is the world 's longest-lived for its size ?
949,DESC,def, What was the Chivington Massacre ?
950,HUM,ind," What actor starred in 1980 's Blue Lagoon , 1982 's The Pirate Movie and 1983 's A Night in Heaven ?"
951,NUM,count, How many home runs did Lou Gehrig have during his career ?
952,LOC,city, In what city is the headquarters of Sinn Fein ?
953,LOC,other, Where can I find information on George Bush ?
954,HUM,ind, Who is the voice of Miss Piggy ?
955,ENTY,termeq, What is the dialogue circle in cartoons called ?
956,DESC,def," What does the word camaro mean , from the GM car the Camaro ?"
957,HUM,ind, Who replaced Bert Parks as the host of The Miss America Pageant ?
958,NUM,count, How many boys play the game in Winslow Homer 's 1872 painting Snap the Whip ?
959,DESC,def, What is the AIM-54C Phoenix ?
960,NUM,date, When are sheep shorn ?
961,ENTY,sport, What sport is Chris Jogis a top player of ?
962,LOC,other, What 's the second-largest island in the world ?
963,DESC,def, What is the definition of low island ?
964,NUM,date, What century does Captain Video live in ?
965,ENTY,other, What types of water pollution are there ?
966,NUM,count, How many astronauts manned each Project Mercury flight ?
967,ENTY,food, What soft drink would provide me with the biggest intake of caffeine ?
968,ENTY,other, What 's the name of a golf course in Myrtle Beach ?
969,ENTY,event, What are some of the significant historical events of the 1990s ?
970,ENTY,cremat, Name the only extant trilogy of classical Greek plays .
971,LOC,other, Where is Logan Airport ?
972,DESC,desc, What is the difference between Neoclassical art and Romanticism art ?
973,HUM,ind, Who was the first person inducted into the U.S. Swimming Hall of Fame ?
974,HUM,ind, What golfer has been called Ohio Fats and Blobbo ?
975,HUM,ind, Who murdered Leno and Rosemary LaBianca on August 1
976,NUM,money, What is the average cost for four years of medical school ?
977,ENTY,other, What does God create in the first sentence of the Bible ?
978,HUM,ind, Which of the following men was not married to Rita Hayworth ?
979,NUM,money, What is the current ticket fare from from Cairo to Barbados ?
980,ABBR,exp, What does NN O `` mean when used as a prefix in Irish surnames ?
981,DESC,manner, How do you find oxidation numbers ?
982,LOC,state, What is the state nickname of Mississippi ?
983,DESC,reason," What is Black Hills , South Dakota most famous for ?"
984,ENTY,cremat, What 1966 boob tube bomb took astronauts back to prehistoric times ?
985,NUM,count, How many students attend the University of Massachusetts ?
986,HUM,ind," Who said , `` I shall return . '' during World War Two ?"
987,ENTY,event, What holidays are celebrated in Ireland ?
988,HUM,ind," Who portrayed Etta Place , companion to Butch Cassidey and the Sundance Kid ?"
989,DESC,def, What are the Greek numerals ?
990,LOC,other, What 's the name of the temple that is located near the capital city of Laos ?
991,ENTY,dismed, What is a fear of sleep ?
992,ENTY,sport, What auto race was Wilbur Reed the first to win three times ?
993,ENTY,animal, What are the most common breeding birds in the U.S. ?
994,ENTY,event," What was organized as a Confederate veterans ' social club in Pulaski , in Tennessee , in 1866 ?"
995,DESC,manner, How do you look up criminal records on the Internet ?
996,LOC,other," Where is the actress , Marion Davies , buried ?"
997,DESC,desc, What is an example of an actual case of using the Fourteenth Amendment ?
998,HUM,ind, Who was the Charlie perfume woman ?
999,HUM,ind, Who portrayed `` Rosanne Rosanna-Dana '' on the television show `` Saturday Night Live '' ?
1000,HUM,ind," What singer became despondent over the death of Freddie Prinze , quit show business , and then quit the business ?"
1001,NUM,date, When did Iraqi troops invade Kuwait ?
1002,ENTY,termeq, What was Mark Johnson referring to when he said 
1003,ENTY,product, What car was driven in the 199 release of `` Smokey and the Bandit '' ?
1004,HUM,gr, What was the backup singing group for Roy Rogers ?
1005,HUM,ind, What famous singing cowboy owns the California Angels baseball team ?
1006,ENTY,cremat, What 1915 film was the first to gross $5 million ?
1007,DESC,desc, Where did the term `` 86 '' come from ?
1008,DESC,reason, What causes someone to be ticklish ?
1009,NUM,perc, What is the probability that at least 2 out of 25 people will have the same birthday ?
1010,NUM,count, How many Canadians emmigrate each year ?
1011,DESC,reason, Why did several San Diego schools remove apples from students menus ?
1012,ENTY,instru, What musical instrument did Sherlock Holmes play ?
1013,HUM,ind, Who was Gerald Ford 's vice president ?
1014,DESC,def, What is `` the washed vodka '' ?
1015,NUM,count, How many different languages are spoken in Europe ?
1016,NUM,date, What year was Desmond Mpilo Tutu awarded the Nobel Peace Prize ?
1017,ENTY,termeq, What 's a `` Drinker respirator '' better known as ?
1018,HUM,ind, Who invented batteries ?
1019,DESC,reason, Why do recipe books recommend starting with cold water when you boil something ?
1020,LOC,other, Where can I buy a good snowboard for less than $200 ?
1021,HUM,title, What title did Suzette Charles assume for two months in 1984 ?
1022,HUM,ind, What was the infamous pseudonym of Peter Sutcliffe ?
1023,ENTY,animal, What is Smokey The Bear 's middle name ?
1024,HUM,title, What is Nicholas Cage 's occupation ?
1025,ENTY,cremat, What British TV series featured Emma Peel ?
1026,LOC,other, What London street is the home of British journalism ?
1027,ENTY,event, What tragedy befell the city of Dogtown in 1899 ?
1028,DESC,def, What is the Immaculate Conception ?
1029,ENTY,veh, What are the names of all the U.S. Navy aircraft carriers ?
1030,ENTY,other, What format was VHS 's main competition ?
1031,DESC,def, What is Candlemas Day ?
1032,LOC,city, In what city is the famed St. Mark 's Square ?
1033,ENTY,termeq, What does the Ouarterly Review of Doublespeak call an `` inoperative statement '' ?
1034,NUM,money, How much did the minimum wage amount to in 1991 ?
1035,LOC,other, Where is Tufts University ?
1036,DESC,def, What is a pyrotechnic display ?
1037,DESC,manner, How do I find out about jobs ?
1038,HUM,gr, What Japanese manufacturer is known for both its pianos and its motorcycles ?
1039,NUM,other, What is the chemical reactivity of argon ?
1040,NUM,count, How many engines does a Boeing 737 have ?
1041,DESC,desc, What is the origin of the term `` The Brooklyn Side '' in bowling ?
1042,ENTY,dismed, What is a fear of being cold ?
1043,NUM,dist, How long was Mao 's 1930s Long March ?
1044,ENTY,sport, What net game sees its women 's world amateur champions receive the Uber Cup ?
1045,ENTY,animal, What four-legged creature did a Cornell University study say would make man 's best companion in space ?
1046,NUM,weight, What does a teaspoon of matter weigh in a black hole ?
1047,ENTY,other," What did British companies stick 175 , 0 tons of tea into in 1982 ?"
1048,LOC,state, What province is Edmonton located in ?
1049,DESC,manner, How can I find out how much income tax is paid on Social Security income on the 1998 income tax ?
1050,HUM,ind, Who did Sonny Liston succeed as world heavyweight boxing champion ?
1051,ENTY,animal, What is California 's state bird ?
1052,NUM,date, What is Martin Luther King Jr. 's real birthday ?
1053,HUM,gr, Name the various super-teams to which the Angel has belonged .
1054,DESC,manner, How does Zatanna perform her magic in DC comics ?
1055,ENTY,veh, What 's the name of Jacques Cousteau 's research ship ?
1056,HUM,ind, What President dispatched a cruiser to carry Charles Lindbergh home after his epic flight ?
1057,HUM,ind, Whose video is titled Shape Up with Arnold ?
1058,ENTY,cremat, In which Kevin Costner movie did Sioux Indians play a role ?
1059,NUM,count, How many James Bond novels are there ?
1060,DESC,manner, How do you get dates with the `` Hooters '' girls ?
1061,ENTY,animal, What bird can swim but can 't fly ?
1062,DESC,manner, How can I get a comic character I made copyrighted and published ?
1063,NUM,volsize, How large is the Arctic refuge to preserve unique wildlife and wilderness value on Alaska 's north coast ?
1064,DESC,def, What is Plc ?
1065,NUM,count, How much electricity does the brain need to work ?
1066,NUM,count, How many acres in a mile ?
1067,ENTY,cremat, What Dickens novel has David carrying the message `` Barkis is willin '' to Peggy ?
1068,DESC,def, What is a hyperlink ?
1069,HUM,ind, Who 's the twin brother of the Greek goddess Artemis ?
1070,DESC,desc, Where did marijuana come from ?
1071,NUM,money," What is the per-capita income of Colombia , South America , ?"
1072,ENTY,cremat, What novel has Big Brother watching ?
1073,NUM,count, How many Grammys did Michael Jackson win in 1983 ?
1074,DESC,def, What does Elysium mean ?
1075,LOC,other, What is the oldest website on the Internet ?
1076,DESC,def, What is Shalom ?
1077,ENTY,sport, What was the favorite sport of Tom Wolfe 's The Pump House Gang ?
1078,ENTY,substance, What organic fuel do bog-dwellers use a `` slane '' to cut ?
1079,NUM,period, What is the average age of a member of the team that worked on the Manhatten Project ?
1080,LOC,country, What country received all the Nobel Prizes awarded in 1976 ?
1081,DESC,manner, How do you get rid on woodpeckers ?
1082,NUM,count, How many syllables are there in a line of hendecasyllabic poetry ?
1083,ENTY,food," What soft drink first appeared in the Old Corner Drug Store in Waco , Texas , in 1885 ?"
1084,LOC,other, What is Britain 's possession on the Chinese mainland ?
1085,HUM,ind, Who was America 's first Public Enemy No. 1 ?
1086,NUM,count, How many children under 18 are victims of some sort of Physical Abuse each year ?
1087,DESC,desc, What is the origin of thank you notes ?
1088,ENTY,other, What did Jimmy Stewart invent ?
1089,ENTY,other, What generation am I in ?
1090,ENTY,dismed, What is a fear of hell ?
1091,HUM,desc, Who is Dear Abby ?
1092,HUM,ind," Who lives at 24 Sussex Drive , Ottawa ?"
1093,ENTY,substance, What is Jell-O made from ?
1094,HUM,desc, Who was Monet ?
1095,LOC,state, What are the only two states that incorporate the Confederate battle flag in their flags ?
1096,DESC,manner, How do you make panoramic sugar eggs for Easter - the ones with the scene inside ?
1097,ENTY,food, What 's the Southern dish made of pigs ' small intestines ?
1098,LOC,other, Where is Guam ?
1099,HUM,ind, Who was the famous door-to-door brush salesman ?
1100,DESC,def, What is the executor in a will ?
1101,HUM,gr," What inescapable purveyor of background music celebrated its 5th anniversary in July , 1984 ?"
1102,NUM,count, How many people in America snore ?
1103,HUM,ind, Who is always trying to get the rent from Andy Capp ?
1104,ENTY,food, What soft drink is most heavily caffeinated ?
1105,HUM,ind, Who did Jackie Kennedy commission to write The Death of a President ?
1106,ENTY,dismed, Which drug is commonly used to treat AIDS ?
1107,NUM,count, How many stars are there on the Soviet Union 's flag ?
1108,DESC,desc, What is the difference between microprocessors & microcontrollers ?
1109,HUM,ind, Who sought to create The Great Society ?
1110,LOC,other, What are tourist attractions in Reims ?
1111,NUM,dist, What are the lengths of pearl necklaces ?
1112,HUM,ind, Who said 
1113,DESC,desc, What is the proof that houseplants metabolize carcinogens ?
1114,DESC,reason, What prompted the co-pilot of the Enola Gay to enter only `` My God '' in his log ?
1115,NUM,period, How long does it take the typical hen to lay 19 dozen eggs ?
1116,LOC,city, What Colorado city owns its own glacier ?
1117,DESC,desc, What is the history of `` the toast '' ?
1118,ENTY,event, What was the name of the Protestant revolt against the supremacy of the Pope ?
1119,DESC,def, What is an arab strap ?
1120,NUM,money," How much does it cost , average or whatever is available , to produce and send junk mail catalogues in the US ? , DT CD NN NN ,"
1121,HUM,ind, Who is the current UN Secretary General ?
1122,HUM,gr," Who provides telephone service in Orange County , California ?"
1123,LOC,other, Where did guinea pigs originate ?
1124,LOC,country, What two countries ' coastlines border the Bay of Biscay ?
1125,DESC,reason, Why did Egyptians shave their eyebrows ?
1126,HUM,gr, What organization did Mr. Waverly assign agents for ?
1127,NUM,date, When was the slinky invented ?
1128,HUM,ind, What are the characters ' names in the Scooby-Doo cartoon ?
1129,ENTY,dismed, What is a fear of cold ?
1130,HUM,title, What was Eduard Shevardnadze 's job in the Soviet Union ?
1131,DESC,reason, What causes rust ?
1132,HUM,ind, Which is the only Dick Tracy villain to appear three times ?
1133,ENTY,animal, What was the monster in Spielberg 's film `` Jaws '' ?
1134,ENTY,color, What color is an Arctic fox in winter ?
1135,DESC,def," What do the names Neil , Mary , and Anthony mean ?"
1136,LOC,city," What European capital celebrated its 2 , 000th anniversary in 1951 ?"
1137,DESC,reason, Why do people in the upper peninsula of Michagin say `` eh ? '' ?
1138,ENTY,plant, What flower did Vincent Van Gogh paint ?
1139,LOC,country, What country was the setting of You Only Live Twice ?
1140,NUM,perc, What was Thatcher 's approval rating after 10 years in power ?
1141,ENTY,animal, Winnie the Pooh is what kind of animal ?
1142,DESC,desc," What was the first Funk 'N Lata , Brazilian group , success ?"
1143,DESC,def, What is a handheld PC ?
1144,DESC,desc, What did John Hinckley do to impress Jodie Foster ?
1145,HUM,title, What is Larry King 's job ?
1146,NUM,count, How many calories are in a tomato ?
1147,LOC,state, In what state was the first co-educational college established
1148,ENTY,event, What war saw a naval battle between the luxury liners Cap Trafalgar and the Carmania ?
1149,ENTY,techmeth, What is the treatment for depression ?
1150,ENTY,dismed, What is a fear of slime ?
1151,LOC,country, What country in Latin America is the largest one ?
1152,LOC,other, On which Hawaiian island is Pearl Harbor ?
1153,HUM,ind," What feathered cartoon characters do Yugoslavians know as Vlaja , Gaja , and Raja ?"
1154,ENTY,cremat, What Marx Brothers movie centers on a stolen painting ?
1155,DESC,desc, What was unusual about Alexandra 's appearance in Josie and the Pussycats ?
1156,DESC,desc, What is the origin of the word `` mind '' ?
1157,NUM,date, When was Dick Clark born ?
1158,ENTY,sport, What game is fatal to anybody over 21 ?
1159,NUM,other, What is the death toll of people dying from tuberculosis ?
1160,DESC,desc, What happened to Moon Maiden ?
1161,LOC,city, What city is wiener schnitzel named for ?
1162,DESC,def, What are the Urals ?
1163,DESC,manner, How can you stop the itch from poison ivy ?
1164,LOC,other, What desert has the highest sand dunes ?
1165,LOC,country, What two countries contain Sierra Nevada mountains ?
1166,DESC,manner, How do you tell your parents you are dating an older man ?
1167,NUM,period, How long was the TV mission of Star Trek 's Enterprise to be ?
1168,NUM,code, What phone number can I call to have a tree planted ?
1169,NUM,date, When did the `` Star-Spangled Banner '' become the national anthem ?
1170,HUM,desc, Who was Lacan ?
1171,ENTY,techmeth, What are the four natural aids used in riding a horse ?
1172,LOC,other, What continent 's name appears on the upper left corner of a Budweiser label ?
1173,HUM,ind, Who was the Secretary of War in the Civil War during the Battle of Gettysburg ?
1174,HUM,ind, Who did Bobby Fischer beat to win the world chess championship ?
1175,DESC,manner, How do you exterminate bees that are in the walls of your home ? Will bee eggs remain over winter ?
1176,LOC,other, Where can I get information and statistics on countries and nations ?
1177,ENTY,lang, Name a Gaelic language .
1178,NUM,date," What day is August 13 , 1971 ?"
1179,LOC,other, Where can I find a list of all the companies in America that offer a direct stock purchase plan ?
1180,DESC,manner, How do you send a movie transcript to Hollywood so that it can be produced into a film ?
1181,ENTY,cremat," What literary classic centers on the search for a treasure in gold worth 7 , 0 pounds ?"
1182,DESC,desc, What is the origin of blue for boys and pink for girls ?
1183,ENTY,cremat, What is the name of the Michelangelo painting that shows two hands with fingers touching ?
1184,NUM,volsize, How big is a quart ?
1185,DESC,def, What is the Hub of London ?
1186,ENTY,cremat, Jude Law acted in which film ?
1187,DESC,reason, What causes panic attacks ?
1188,DESC,def, What was the filling in the first golf balls ?
1189,ENTY,dismed, What drug did Sigmund Freud become fascinated with while experimenting with the treatment of neurasthenia ?
1190,LOC,country, What country was A Terrible Beauty to Leon Uris ?
1191,DESC,def, What is typhoid fever ?
1192,LOC,other, Where can I buy a hat like the kind Jay Kay from Jamiroquai wears ?
1193,DESC,def, What are the Twin Cities ?
1194,ENTY,cremat, What is Beethoven 's 9th symphony called ?
1195,HUM,ind, Name the lawyer for Randy Craft .
1196,ENTY,food, Which breakfast cereal brought you `` the best each morning '' ?
1197,ABBR,exp," What does Ms. , Miss , and Mrs. stand for ?"
1198,LOC,other, What is the Homelite Inc. home page ?
1199,ENTY,substance," What explosive do you get by mixing charcoal , sulfur and saltpeter ?"
1200,LOC,other, What mountainous region of the world is the Lhasa Apso dog native to ?
1201,ENTY,dismed, What cancer is commonly associated with AIDS ?
1202,NUM,period, How long does it take light to reach the Earth from the Sun ?
1203,HUM,ind, Who lives at 39 Stone Canyon Way ?
1204,NUM,count, How many questions are on this thing ?
1205,HUM,ind, Who played Humpty Dumpty in the 1933 film Alice in Wonderland ?
1206,HUM,ind," Who is Karenna Gore , Al Gore 's oldest daughter , married to ?"
1207,HUM,ind, Who played the title role in I Was a Teenage Werewolf ?
1208,DESC,reason, Why are there olives in martinis ?
1209,NUM,date, In what year did Hitler gain power of Germany ?
1210,NUM,date, What year did Rossetti paint `` Beata Beatrix '' ?
1211,HUM,gr, What record company produced the 1978 movie The Wiz ?
1212,LOC,other, Where can I find information about touring the Philippines ?
1213,ENTY,other, What did The Gas House Gang play ?
1214,NUM,count, How many square feet is Bill Gates ' home ?
1215,HUM,ind," What is the name of actor Rex Harrison 's son , who starred in a modestly popular TV show during the late 1960's ?"
1216,DESC,def, What is the highest Roman numeral ?
1217,ENTY,other, What 's the most popular form of bridge ?
1218,HUM,ind, Who was the inventor of the stove ?
1219,HUM,ind, What comedian has a legendary reputation for stealing jokes ?
1220,LOC,other, Where can I find information on the cyclone that hit New Jersey on 8/28/1941 ?
1221,NUM,date, Boxing Day is celebrated on what date ?
1222,ENTY,cremat, What are the first ten amendements passed ?
1223,ENTY,dismed, What is another term for the painful wrist syndrome ?
1224,DESC,desc, What 's the difference between sleet and freezing rain ?
1225,DESC,manner, How is the new Ford Econoline van F25 V1 engine ?
1226,HUM,ind, Who was the king who was forced to agree to the Magna Carta ?
1227,HUM,ind, Who was made the first honorary citizen of the U.S. ?
1228,ENTY,sport, What game is Garry Kasparov really good at ?
1229,LOC,other, Where was Richard Nixon when Gerald Ford became president ?
1230,NUM,ord, Where does the U.S. rank among world countries in area ?
1231,ENTY,cremat, What novel did Ian Fleming introduce James Bond in ?
1232,NUM,perc, What was the target rate for M3 growth in 1992 ?
1233,HUM,gr, What baseball team was routinely called `` dem bums '' by its frustrated fans ?
1234,HUM,ind, Name of scholar on whose literal translations from the Chinese and Japanese Ezra Pound depended ?
1235,NUM,date, When did Israel begin turning the Gaza Strip and Jericho over to the PLO ?
1236,DESC,desc, What are the major differences in the Catholic and Methodist religions ?
