,A,B,C
1235,NUM,date,"[when, did, israel, begin, turning, the, gaza, strip, and, jericho, over, to, the, plo, ?]"
1236,DESC,desc,"[what, are, the, major, differences, in, the, catholic, and, methodist, religions, ?]"
1237,HUM,ind,"[name, the, on, stage, character, whose, face, was, never, seen, .]"
1238,NUM,count,"[how, much, energy, is, released, when, oxygen, and, hydrogen, mix, ?]"
1239,HUM,gr,"[what, is, the, best, internet, business, to, go, into, ?]"
1240,DESC,def,"[what, does, venus, retrograde, mean, ?]"
1241,HUM,ind,"[who, is, known, as, ``, the, world, 's, oldest, teenager, '', ?]"
1242,LOC,other,"[what, are, the, largest, breweries, in, the, world, ?]"
1243,DESC,def,"[what, does, las, vegas, mean, ?]"
1244,DESC,def,"[what, does, the, word, ``, meta, '', mean, ?]"
1245,ENTY,other,"[what, keeps, clouds, in, the, air, ?]"
1246,ENTY,termeq,"[what, 's, the, term, for, any, four-sided, figure, ?]"
1247,ENTY,instru,"[ray, charles, plays, which, instrument, ?]"
1248,LOC,country,"[what, country, and, western, singer, is, known, as, the, silver, fox, ?]"
1249,LOC,other,"[what, building, appropriately, enough, is, depicted, on, the, back, of, the, 1-dollar, bill, ?]"
1250,DESC,def,"[what, is, graduate, school, ?]"
1251,DESC,desc,"[what, is, the, difference, between, new, york-style, and, chicago-style, pizza, ?]"
1252,HUM,ind,"[what, baseball, team, owner, and, sailor, is, known, as, the, mouth, of, the, south, ?]"
1253,ENTY,sport,"[what, type, of, betting, is, used, in, horse, racing, ?]"
1254,ENTY,product,"[what, kind, of, hat, does, bat, masterson, wear, ?]"
1255,HUM,ind,"[who, was, with, patricia, hearst, the, night, she, was, kidnaped, ?]"
1256,HUM,ind,"[what, is, the, viking, prince, 's, first, name, ?]"
1257,ABBR,exp,"[what, does, the, abbreviation, cwt., ?]"
1258,ENTY,other,"[in, what, deodorant, commercial, did, tenants, have, adjoining, medicine, cabinets, ?]"
1259,LOC,other,"[where, is, rider, college, located, ?]"
1260,HUM,ind,"[what, boxer, 's, life, story, is, titled, raging, bull, ?]"
1261,DESC,reason,"[for, what, reason, did, some, san, diego, schools, stop, serving, apples, ?]"
1262,HUM,ind,"[who, advised, listeners, to, ``, see, the, u.s.a., in, your, chevrolet, '', ?]"
1263,LOC,other,"[where, was, the, first, restaurant, ?]"
1264,LOC,other,"[where, can, i, find, full, written, draft, of, ctbt, ?]"
1265,NUM,count,"[how, many, horses, died, during, the, civil, war, ?]"
1266,NUM,count,"[how, much, waste, does, an, average, dairy, cow, produce, in, a, day, ?]"
1267,HUM,ind,"[what, nobel, laureate, was, expelled, from, the, philippines, before, the, conference, on, east, timor, ?]"
1268,HUM,ind,"[what, woman, has, carried, the, most, multiple, births, ,, twins, ,, triplets, ,, etc., ,, ?]"
1269,NUM,count,"[how, many, minutes, were, there, on, the, original, ge, college, bowl, clock, ?]"
1270,NUM,period,"[what, is, the, average, time, it, takes, for, a, male, to, ejaculate, ?]"
1271,LOC,other,"[what, is, website, of, the, international, court, of, justice, ?]"
1272,LOC,other,"[where, are, 8, of, the, 10, highest, mountains, in, the, world, ?]"
1273,LOC,other,"[where, can, i, look, at, a, perpetual, calendar, ?]"
1274,NUM,count,"[how, many, astronauts, have, been, on, the, moon, ?]"
1275,NUM,date,"[in, what, year, did, the, bounty, mutiny, happen, ?]"
1276,ENTY,substance,"[what, is, the, only, substance, that, gives, food, its, ``, taste, '', when, eaten, ?]"
1277,DESC,manner,"[how, do, you, reference, a, website, ?]"
1278,DESC,def,"[what, is, pandoro, ?]"
1279,ABBR,exp,"[what, do, the, letters, zip, stand, for, in, the, phrase, ``, zip, code, '', ?]"
1280,HUM,ind,"[which, bourbon, king, was, restored, to, the, french, throne, during, napoleon, 's, abdication, ?]"
1281,LOC,city,"[what, is, one, of, the, cities, that, the, university, of, minnesota, is, located, in, ?]"
1282,DESC,desc,"[what, are, the, words, to, ``, my, way, '', written, by, paul, anka, ?]"
1283,DESC,manner,"[how, do, i, install, a, tile, floor, ?]"
1284,ENTY,techmeth,"[what, is, the, quickest, and, easiest, way, to, get, nail, polish, out, of, clothes, ?]"
1285,DESC,reason,"[why, was, the, zipper, invented, ?]"
1286,ENTY,other,"[what, 's, the, no., 1, killer, in, industrialized, countries, ?]"
1287,ENTY,animal,"[name, four, famous, cartoon, cats, .]"
1288,HUM,ind,"[what, daughter, of, henry, viii, and, anne, boleyn, became, queen, of, england, ?]"
1289,DESC,manner,"[how, did, `, stat, ', come, to, be, used, as, an, expression, for, quickly, ?]"
1290,HUM,gr,"[what, 's, the, most, common, nickname, of, u.s., college, football, teams, ?]"
1291,DESC,desc,"[what, 's, the, distinction, of, u.s., supreme, court, justice, thurgood, marshall, ?]"
1292,LOC,other,"[what, is, the, most, useful, site, on, the, internet, ?]"
1293,LOC,mount,"[what, is, the, world, 's, highest, peak, ?]"
1294,DESC,def,"[what, was, a, mae, west, on, a, world, war, ii, battleship, ?]"
1295,DESC,def,"[define, cosmology, .]"
1296,HUM,ind,"[what, comedienne, upstaged, dwight, d., eisenhower, 's, first, inauguration, by, giving, birth, to, her, first, child, ?]"
1297,DESC,def,"[what, are, amicable, numbers, ?]"
1298,NUM,date,"[when, were, the, olympic, games, in, which, nadia, comaneci, became, popular, played, ?]"
1299,LOC,other,"[where, is, hearst, castle, ,, built, by, publisher, william, randolph, hearst, ?]"
1300,LOC,city,"[what, 's, the, largest, u.s., city, on, the, great, lakes, ?]"
1301,HUM,ind,"[who, sang, about, desmond, and, molly, jones, ?]"
1302,ENTY,cremat,"[what, magazine, gives, us, the, cream, ,, not, the, skim, ?]"
1303,ENTY,techmeth,"[what, does, the, technique, called, ``, cold, fusion, '', produce, ?]"
1304,HUM,ind,"[what, costume, designer, decided, that, michael, jackson, should, only, wear, one, glove, ?]"
1305,ENTY,other,"[what, meter, did, shakespeare, use, in, writing]"
1306,NUM,count,"[how, many, rows, of, sprocket, holes, does, a, roll, of, 35-millimeter, film, have, ?]"
1307,NUM,count,"[what, is, the, goat, population, of, the, world, ?]"
1308,HUM,gr,"[what, company, was, the, original, sponsor, of, tv, 's, superman, ?]"
1309,ENTY,termeq,"[what, term, does, a, czech, use, to, describe, a, pole, ?]"
1310,LOC,other,"[what, sea, separates, naples, and, algiers, ?]"
1311,NUM,count,"[how, many, lawyers, are, there, in, the, state, of, new, jersey, ?]"
1312,ENTY,substance,"[what, are, the, most, common, elements, in, seawater, ?]"
1313,DESC,desc,"[describe, the, finnish, music, personality, salonen, 's, appearance, .]"
1314,DESC,desc,"[what, is, the, origin, of, the, ethnic, category, ``, caucasian, '', ?]"
1315,DESC,def,"[what, is, a, stratocaster, ?]"
1316,ENTY,other,"[what, kind, of, science, is, cosmology, ?]"
1317,HUM,ind,"[name, the, blind, sculptress, in, love, with, the, fantastic, four, 's, thing, .]"
1318,ENTY,substance,"[what, 's, the, second-lightest, element, ?]"
1319,ENTY,termeq,"[what, do, you, call, a, ``, twirl, '', in, ballet, ?]"
1320,ENTY,product,"[what, is, the, brand, name, of, daminozide, ?]"
1321,ENTY,termeq,"[what, is, the, former, name, of, zimbabwe, ?]"
1322,HUM,ind,"[what, national, basketball, association, superstar, told, his, story, in, giant, steps, ?]"
1323,ENTY,animal,"[what, animals, did, the, amazing, three, masquerade, as, ?]"
1324,DESC,manner,"[how, did, the, bikini, bathing, suite, get, its, name, ?]"
1325,NUM,date,"[when, did, fraze, get, his, first, patent, for, the, pull-tab, can, ?]"
1326,NUM,count,"[how, many, games, are, played, in, a, five-team, round-robin, tournament, ?]"
1327,HUM,ind,"[who, developed, the, first, polio, vaccine, ?]"
1328,HUM,ind,"[who, made, the, first, gas, engine, ?]"
1329,LOC,country,"[what, country, claimed, rubens, ,, van, dyck, and, bruegel, as, citizens, ?]"
1330,ENTY,event,"[what, civil, war, was, fought, between, 1936, and, 1939, ?]"
1331,NUM,count,"[how, many, questions, do, you, have, on, your, database, ?]"
1332,DESC,manner,"[how, do, clouds, form, ?]"
1333,LOC,other,"[where, can, i, find, examples, of, legal, cases, about, the, individuals, with, disabilities, education, act, ?]"
1334,HUM,ind,"[what, character, did, tex, avery, first, create, upon, arriving, at, mgm, ?]"
1335,NUM,date,"[when, was, the, triangle, shirtwaist, fire, ?]"
1336,HUM,ind,"[what, asian, spiritual, and, political, leader, was, married, at, the, age, of, 13, ?]"
1337,LOC,other,"[where, is, ocho, rios, ?]"
1338,DESC,def,"[what, is, the, half-life, of, p-32, ?]"
1339,LOC,other,"[what, ocean, does, mauritania, border, ?]"
1340,DESC,reason,"[why, do, pressure, cookers, save, time, in, the, kitchen, ?]"
1341,DESC,reason,"[why, are, there, 12, people, on, a, jury, in, criminal, cases, ?]"
1342,DESC,desc,"[what, do, christian, scientists, believe, in, ?]"
1343,ENTY,event,"[what, world, war, i, battle, saw, 6, ,, 0, troops, killed, in, one, day, ?]"
1344,LOC,country,"[what, country, is, kosovo, a, part, of, ?]"
1345,LOC,city,"[tell, me, what, city, the, kentucky, horse, park, is, near, ?]"
1346,ENTY,product,"[what, computer, operating, system, is, on, the, most, computers, ?]"
1347,LOC,other,"[what, is, bill, gross, 's, email, address, ?]"
1348,DESC,desc,"[what, is, the, economic, impact, of, unemployment, on, the, economy, ?]"
1349,ABBR,exp,"[what, do, the, letters, d.c., stand, for, in, washington, ,, d.c., ?]"
1350,ENTY,animal,"[what, animals, can, live, the, longest, without, food, ?]"
1351,HUM,ind,"[what, english, queen, had, seventeen, children, ?]"
1352,NUM,other,"[what, is, the, approximate, population, of, las, vegas, ,, n.m, ?]"
1353,NUM,money,"[how, much, does, the, president, get, paid, ?]"
1354,HUM,ind,"[what, two, baseball, players, make, up, the, battery, ?]"
1355,ENTY,letter,"[what, 's, the, largest, letter, in, salvador, dali, 's, signature, ?]"
1356,ENTY,termeq,"[what, does, an, irate, car, owner, call, iron, oxide, ?]"
1357,NUM,perc,"[of, children, between, the, ages, of, two, and, eleven, ,, what, percentage, watch, ``, the, simpsons, '', ?]"
1358,LOC,state,"[what, 's, the, northernmost, u.s., state, apart, from, alaska, ?]"
1359,LOC,other,"[name, an, art, gallery, in, new, york, .]"
1360,HUM,ind,"[who, sells, viagra, ?]"
1361,ENTY,instru,"[what, musical, instrument, did, prewitt, play, in, james, jones, 's, from, here, to, eternity, ?]"
1362,DESC,def,"[what, is, the, home, rule, act, ?]"
1363,LOC,other,"[what, building, are, british, monarchs, crowned, in, ?]"
1364,DESC,def,"[what, are, bellworts, ?]"
1365,HUM,desc,"[who, was, darius, ?]"
1366,ENTY,cremat,"[what, movie, told, of, anna, anderson, 's, claim, to, be, a, russian, czar, 's, daughter, ?]"
1367,HUM,ind,"[who, did, dita, beard, work, for, ?]"
1368,ENTY,animal,"[what, kind, of, creature, is, a, coot, ?]"
1369,HUM,gr,"[name, the, university, of, which, woodrow, wilson, was, president, .]"
1370,LOC,country,"[what, country, was, first, to, use, the, airplane, as, a, weapon, of, war, ,, against, the, turks, in, libya, ?]"
1371,HUM,gr,"[what, university, was, woodrow, wilson, president, of, ?]"
1372,ENTY,dismed,"[what, is, a, fear, of, disease, ?]"
1373,ENTY,food,"[what, kind, of, meat, is, fray, bentos, synonymous, with, ?]"
1374,ENTY,other,"[what, did, mr., magoo, flog, on, tv, for, general, electric, ?]"
1375,DESC,desc,"[what, are, the, words, to, the, canadian, national, anthem, ?]"
1376,ENTY,termeq,"[what, is, the, name, of, the, jewish, alphabet, ?]"
1377,HUM,ind,"[who, served, as, inspiration, for, the, schoolteacher, portrayed, by, robin, williams, in, ``, dead, poets, society, '', ?]"
1378,NUM,code,"[what, is, columbia, tristar, 's, phone, number, ?]"
1379,HUM,title,"[name, the, five, positions, who, are, in, the, line, of, succession, to, the, presidency, .]"
1380,HUM,ind,"[which, one, of, the, original, seven, mercury, program, astronauts, did, not, fly, on, any, of, the, mercury, flights, ?]"
1381,HUM,ind,"[who, is, the, best, known, villain, of, the, 165, gunpowder, plot, ?]"
1382,LOC,city,"[what, is, the, capital, of, burkina, faso, ?]"
1383,LOC,other,"[what, continent, is, bolivia, on, ?]"
1384,DESC,reason,"[why, was, muhammad, ali, stripped, of, his, title, and, barred, from, boxing, in, 1967, ?]"
1385,HUM,ind,"[who, killed, more, people, ,, hitler, or, stalin, ?]"
1386,DESC,reason,"[what, caused, shea, &, gould, to, close, their, l.a., office, ?]"
1387,ENTY,animal,"[what, 's, the, only, mammal, that, can, 't, jump, ?]"
1388,LOC,state,"[what, u.s., state, has, the, most, blondes, ?]"
1389,ENTY,event,"[what, war, saw, battles, at, parrot, 's, beak, and, black, virgin, ?]"
1390,NUM,count,"[what, was, the, u.s., highway, death, toll, in, 1969, ?]"
1391,DESC,def,"[what, does, the, name, kelly, mean, ?]"
1392,DESC,def,"[what, is, a, phalanx, ?]"
1393,HUM,ind,"[what, mustachioed, comedian, portrayed, frankie, in, north, to, alaska, ?]"
1394,NUM,money,"[what, does, each, of, the, utilities, cost, in, monopoly, ?]"
1395,HUM,ind,"[what, actor, and, world, war, ii, airman, had, a, $5, ,, 0, bounty, put, on, his, head, by, hermann, goering, ?]"
1396,ABBR,exp,"[what, does, e.g., stand, for, ?]"
1397,ENTY,dismed,"[what, is, the, name, of, the, medical, condition, in, which, a, baby, is, born, without, a, brain, ?]"
1398,DESC,manner,"[how, do, storms, form, ?]"
1399,HUM,desc,"[who, is, nicolo, paganini, ?]"
1400,LOC,city,"[what, city, is, often, called, the, insurance, capital, of, the, world, ?]"
1401,ENTY,animal,"[what, are, the, three, animals, in, sheila, burnford, 's, the, incredible, journey, ?]"
1402,HUM,ind,"[who, portrayed, dracula, in, hammer, studios, ', films, ?]"
1403,ENTY,other,"[name, one, of, the, seven, wonders, of, the, ancient, world, .]"
1404,NUM,date,"[when, were, fish, first, believed, to, be, found, on, earth, ?]"
1405,HUM,ind,"[what, president, 's, favorite, biblical, quotation, was]"
1406,NUM,count,"[how, many, elevators, do, you, ride, to, reach, the, top, floor, of, the, empire, state, building, ?]"
1407,HUM,gr,"[name, the, food, company, that, traveled, to, soviet, georgia, to, film, a, series, of, ads, .]"
1408,LOC,country,"[what, country, was, sir, edmund, hillary, born, in, ?]"
1409,ENTY,animal,"[what, 's, an, infant, seal, called, ?]"
1410,DESC,desc,"[what, was, the, proper, laugh-in, respones, to]"
1411,LOC,city,"[what, city, was, john, f., kennedy, nominated, for, president, in, ?]"
1412,NUM,period,"[how, long, does, a, dog, sleep, ?]"
1413,ENTY,cremat,"[what, 1963, joseph, l., mankiewicz, film, cost, $28, million, ?]"
1414,HUM,gr,"[what, japanese, electronics, company, was, named, for, a, coastal, city, northeast, of, tokyo, ?]"
1415,NUM,money,"[what, can, you, be, fined, for, having, a, dog, on, a, beach, ?]"
1416,LOC,other,"[where, did, the, battle, of, the, bulge, take, place, ?]"
1417,NUM,count,"[how, much, will, the, california, be, in, the, year, 2000, ?]"
1418,HUM,ind,"[what, mystery, writer, penned, ``, ...the, glory, that, was, greece, ,, and, the, grandeur, that, was, rome, '', ?]"
1419,LOC,state,"[what, state, full, of, milk, and, honey, was, the, destination, in, the, grapes, of, wrath, ?]"
1420,LOC,other,"[what, is, the, tallest, building, in, japan, ?]"
1421,LOC,other,"[where, is, sinn, fein, 's, headquarters, ?]"
1422,ENTY,food,"[name, li, 'l, abner, 's, favorite, indian, drink, .]"
1423,ENTY,event,"[what, are, some, important, events, of, the, 1830, 's, ?]"
1424,NUM,date,"[the, iraqis, launched, their, attack, on, kuwait, on, what, day, ?]"
1425,ENTY,letter,"[what, letter, adorns, the, flag, of, rwanda, ?]"
1426,ENTY,other,"[what, did, 8, ,, cd, nns, vbp, to, vb, nnp, pos, nn, .]"
1427,DESC,def,"[what, is, god, ?]"
1428,LOC,country,"[what, country, 's, northernmost, city, is, darwin, ?]"
1429,LOC,other,"[what, sound, does, olympia, ,, washington, ,, overlook, ?]"
1430,ENTY,cremat,"[what, tv, show, chronicled, the, lives, of, katy, holstrum, and, congressman, glen, morley, ?]"
1431,LOC,city,"[what, kentucky, city, calls, itself, the, horse, center, of, america, ?]"
1432,NUM,count,"[how, many, penny-farthings, are, there, on, a, trivial, pursuit, game, board, ?]"
1433,ENTY,substance,"[what, 's, the, most, abundant, element, in, the, sun, ?]"
1434,LOC,country,"[what, european, country, boasts, the, city, of, furth, ,, found, where, the, rivers, rednitz, and, pegnitz, converge, ?]"
1435,LOC,state,"[what, u.s., state, is, dixville, notch, in, ?]"
1436,LOC,other,"[where, was, the, cisalpine, republic, ,, 1797-185, ,, ?]"
1437,LOC,other,"[what, is, the, largest, shopping, mall, in, the, world, ?]"
1438,HUM,ind,"[what, is, the, protagonist, 's, name, in, dostoevski, 's, ``, the, idiot, '', ?]"
1439,ENTY,other,"[what, penalty, space, lies, between, baltic, avenue, and, reading, railroad, on, a, monopoly, board, ?]"
1440,HUM,ind,"[what, presidential, press, secretary, dismissed, watergate, as, a, third-rate, burglary, attempt, ?]"
1441,DESC,def,"[what, is, a, meerkat, ?]"
1442,HUM,desc,"[who, was, jean, nicolet, ?]"
1443,ENTY,animal,"[what, kind, of, animal, was, winnie, the, pooh, ?]"
1444,HUM,ind,"[which, of, these, are, authors, ?]"
1445,ENTY,word,"[what, 's, the, international, radio, code, word, for, the, letter, b, ?]"
1446,HUM,ind,"[who, was, the, original, humpty, dumpty, ?]"
1447,DESC,def,"[what, is, cache, memory, ?]"
1448,ENTY,termeq,"[aspartame, is, also, known, as, what, ?]"
1449,LOC,other,"[where, is, the, location, of, the, orange, bowl, ?]"
1450,NUM,date,"[when, is, president, nixon, 's, birthday, ?]"
1451,DESC,desc,"[what, is, the, origin, of, the, midwest, slang, ,, `, you, 're, darn, tootin, ', ?]"
1452,HUM,ind,"[whose, cupboard, was, bare, ?]"
1453,LOC,other,"[what, are, the, seven, seas, ?]"
1454,ABBR,exp,"[what, does, ibm, stand, for, ?]"
1455,DESC,desc,"[what, is, the, difference, between, jazz, and, blues, ?]"
1456,DESC,def,"[what, is, the, c, programming, language, ?]"
1457,HUM,ind,"[what, 's, the, name, of, popeye, 's, adopted, son, ?]"
1458,HUM,ind,"[who, invented, the, vacuum, cleaner, ?]"
1459,DESC,def,"[what, is, a, `, borrow, pit, ', ?]"
1460,HUM,ind,"[what, 2th-century, fictional, character, attends, pencey, prep, school, ?]"
1461,NUM,count,"[how, many, people, in, the, usa, say, their, number, one, source, of, information, is, the, newspaper, ?]"
1462,HUM,ind,"[who, does, shakespeare, 's, antonio, borrow, 3, ,, 0, ducats, from, ?]"
1463,LOC,country,"[which, country, is, known, as, ``, big, bear, '', ?]"
1464,ENTY,food,"[what, ``, melts, in, your, mouth, ,, not, in, your, hands, '', .]"
1465,NUM,count,"[how, many, times, a, day, should, you, take, a, prescription, marked, ``, q.i.d, ., '', ?]"
1466,DESC,desc,"[what, is, the, origin, of, the, atom, ?]"
1467,HUM,ind,"[who, is, the, voyager, project, manager, ?]"
1468,HUM,gr,"[which, radio, stations, air, the, jim, bohannon, radio, talk, show, ?]"
1469,HUM,ind,"[what, two, commanders, directed, the, forces, in, the, battle, of, el, alamein, ?]"
1470,HUM,ind,"[name, the, creator, of, ``, the, muppets, '', .]"
1471,DESC,manner,"[how, do, i, e-mail, someone, at, aol.com, from, yahoo.com, ?]"
1472,HUM,ind,"[who, replies, ``, i, know, '', to, princess, leia, 's, confession, ``, i, love, you, '', in, the, empire, strikes, back, ?]"
1473,DESC,def,"[what, is, the, meaning, of, the, name, ella, ?]"
1474,LOC,other,"[what, 's, the, home, of, the, rockettes, ?]"
1475,LOC,other,"[where, can, i, find, all, the, information, i, need, to, know, about, the, english, civil, war, ,, 1642-1649, ,, ?]"
1476,HUM,gr,"[what, is, the, name, of, the, firm, that, makes, spumante, ?]"
1477,ENTY,sport,"[what, sport, is, played, on, the, largest, field, ?]"
1478,HUM,ind,"[who, won, the, 1967, academy, award, for, best, actor, ?]"
1479,ENTY,other,"[what, is, after, death, ?]"
1480,HUM,ind,"[name, the, first, private, citizen, to, fly, in, space, .]"
1481,HUM,ind,"[what, was, football, star, elroy, hirsch, 's, nickname, ?]"
1482,HUM,ind,"[what, singer, sings, ``, oh, boy, '', ?]"
1483,NUM,count,"[how, much, pizza, do, americans, eat, in, a, day, ?]"
1484,LOC,other,"[what, is, the, website, for, the, usa, journal, ?]"
1485,HUM,gr,"[what, army, 's, motto, is, blood, and, fire, ?]"
1486,ENTY,other,"[what, kind, of, patent, did, ermal, fraze, get, in, 1963, ?]"
1487,DESC,desc,"[what, are, you, hearing, when, you, put, a, seashell, to, your, ear, ?]"
1488,DESC,reason,"[why, are, haunted, houses, popular, ?]"
1489,ENTY,other,"[which, gender, has, bigger, thighs, ?]"
1490,LOC,state,"[what, u.s., state, has, the, second-longest, coastline, ?]"
1491,LOC,state,"[what, state, 's, home, to, the, buffalo, bill, historical, center, ?]"
1492,NUM,speed,"[how, fast, do, cheetahs, run, ?]"
1493,ENTY,other,"[what, is, ray, bradbury, 's, illustrated, man, illustrated, with, ?]"
1494,NUM,speed,"[how, fast, is, a, 45mhz, processor, ?]"
1495,ENTY,other,"[what, kind, of, puzzle, first, appeared, in, the, u.s., in, the, new, york, world, on, december, 21, ,, 1913, ?]"
1496,HUM,ind,"[what, count, did, alexandre, dumas, write, about, ?]"
1497,NUM,perc,"[what, are, the, odds, of, giving, birth, to, twins, ?]"
1498,LOC,other,"[what, is, the, largest, natural, lake, in, pennsylvania, ?]"
1499,NUM,dist,"[how, far, is, london, uk, from, california, ?]"
1500,ENTY,animal,"[name, the, two, mystical, ravens, odin, has, at, his, command, .]"
1501,ENTY,animal,"[what, was, the, species, of, winnie, the, pooh, ?]"
1502,DESC,def,"[what, is, the, virus, hiv, ?]"
1503,NUM,count,"[how, many, years, old, is, benny, carter, ?]"
1504,ENTY,cremat,"[what, hermann, hesse, book, gave, its, name, to, a, rock, group, ?]"
1505,LOC,other,"[where, does, the, santa, fe, trail, begin, and, end, ?]"
1506,ENTY,cremat,"[what, book, is, the, follow-up, to, future, shock, ?]"
1507,ENTY,animal,"[what, african, animals, are, known, as, the, big, five, ?]"
1508,ENTY,letter,"[what, is, the, alphabet, for, latin, ?]"
1509,ENTY,dismed,"[what, is, the, fear, of, frogs, ?]"
1510,LOC,city,"[which, city, in, canada, is, the, least-populated, ?]"
1511,NUM,period,"[how, old, is, stevie, wonder, ?]"
1512,HUM,ind,"[who, was, the, first, taiwanese, president, ?]"
1513,HUM,ind,"[who, is, luke, skywalker, 's, father, ?]"
1514,ENTY,other,"[what, does, a, dipsomaniac, crave, ?]"
1515,DESC,def,"[what, is, the, definition, of, the, term, ``, weapons, system, '', ?]"
1516,DESC,desc,"[what, are, christopher, marlowe, 's, and, shakespeare, 's, literary, contributions, to, english, literature, ?]"
1517,ENTY,food,"[what, is, nero, wolfe, 's, favorite, drink, during, office, hours, ?]"
1518,HUM,gr,"[what, is, the, first, personal, computer, company, ?]"
1519,ENTY,techmeth,"[what, is, the, most, efficient, way, to, start, a, barbeque, ?]"
1520,HUM,desc,"[who, was, jane, goodall, ?]"
1521,DESC,reason,"[why, are, there, braille, things, on, the, atm, machines, that, people, drive, through, ?]"
1522,LOC,other,"[where, is, the, isle, of, man, ?]"
1523,ENTY,cremat,"[what, book, did, aaron, hass, write, ?]"
1524,NUM,other,"[what, was, the, death, toll, at, the, eruption, of, mount, pinatubo, ?]"
1525,NUM,date,"[when, will, the, millennium, officially, begin, ?]"
1526,HUM,ind,"[who, created, the, comic, strip, ,, ``, garfield, '', ?]"
1527,HUM,ind,"[which, vietnamese, terrorist, is, now, a, un, delegate, in, doonesbury, ?]"
1528,DESC,def,"[what, is, real, time, processing, ?]"
1529,LOC,other,"[what, do, we, call, the, imaginary, line, along, the, top, of, the, rocky, mountains, ?]"
1530,LOC,country,"[what, country, 's, capital, is, lagos, ?]"
1531,LOC,other,"[where, does, ray, bradbury, 's, chronicles, take, place, ?]"
1532,HUM,ind,"[who, is, the, current, prime, minister, and, president, of, russia, ?]"
1533,HUM,ind,"[who, established, a, viking, colony, in, greenland, about, 985, ?]"
1534,ENTY,symbol,"[what, was, the, distinguishing, mark, on, the, ``, little, rascals, '', dog, ?]"
1535,NUM,other,"[what, is, the, latitude, and, longitude, of, el, paso, ,, texas, ?]"
1536,LOC,other,"[where, can, i, get, information, about, cystic, fibrosis, ?]"
1537,LOC,other,"[where, did, honecker, rule, ?]"
1538,DESC,def,"[what, is, the, theory, of, equivalence, states, ?]"
1539,ENTY,other,"[what, does, a, philatelist, collect, ?]"
1540,NUM,period,"[what, is, the, life, span, of, the, average, monkey, ?]"
1541,NUM,count,"[how, many, member, states, are, in, the, un, ?]"
1542,HUM,ind,"[who, shot, and, killed, himself, while, painting, wheatfield, with, crows, ?]"
1543,DESC,desc,"[what, will, happen, when, sodium, is, put, in, water, ?]"
1544,DESC,def,"[what, 's, the, meaning, of, uol, ?]"
1545,HUM,ind,"[what, future, president, became, senate, majority, whip, under, harry, truman, ?]"
1546,HUM,ind,"[who, was, the, architect, of, central, park, ?]"
1547,ENTY,product,"[which, operating, system, runs, on, ibm-compatible, machines, ?]"
1548,NUM,dist,"[what, are, the, dimensions, of, an, ice, hockey, goal, ?]"
1549,NUM,date,"[when, was, cnn, 's, first, broadcast, ?]"
1550,ENTY,symbol,"[what, are, the, signs, of, a, country, going, into, a, recession, ?]"
1551,DESC,def,"[what, is, the, circumorbital, hematoma, ?]"
1552,LOC,country,"[what, african, country, is, governed, from, ouagadougou, ?]"
1553,HUM,ind,"[what, was, the, christian, name, of, the, title, character, in, our, miss, brooks, ?]"
1554,HUM,ind,"[what, hard-of, hearing, artist, painted, sunflowers, ?]"
1555,HUM,gr,"[who, were, the, yankee, 's, frequent, enemies, ?]"
1556,HUM,ind,"[who, wrote, sons, and, lovers, ?]"
1557,ENTY,termeq,"[what, is, the, english, translation, for, the, word, ``, caliente, '', ?]"
1558,ENTY,techmeth,"[what, handicraft, requires, you, to, interlace, your, warp, and, weft, ?]"
1559,LOC,city,"[what, french, seaport, claims, to, be, the, home, of, wines, ?]"
1560,NUM,period,"[how, long, does, it, take, sunlight, to, reach, earth, ?]"
1561,NUM,count,"[how, many, milliseconds, in, a, second, ?]"
1562,HUM,ind,"[what, cherokee, indian, gave, his, name, to, a, tree, ?]"
1563,NUM,date,"[when, were, camcorders, introduced, in, malaysia, ?]"
1564,NUM,perc,"[what, is, the, chance, of, conceiving, quadruplets, ?]"
1565,HUM,ind,"[who, was, the, star, of, leave, it, to, beaver, ?]"
1566,LOC,country,"[what, countries, have, the, largest, armed, forces, in, the, world, ?]"
1567,HUM,ind,"[what, was, william, f., cody, 's, better-known, name, ?]"
1568,DESC,manner,"[how, do, i, increase, my, biceps, ', size, ?]"
1569,HUM,ind,"[who, did, richard, nixon, tender, his, resignation, to, ?]"
1570,HUM,desc,"[who, was, thucydides, ?]"
1571,DESC,manner,"[how, is, the, element, strontium, purified, ?]"
1572,HUM,ind,"[which, of, the, following, rock, 'n, roll, stars, has, a, ``, star, '', on, hollywood, boulevard, ?]"
1573,DESC,reason,"[what, are, tonsils, for, ?]"
1574,ENTY,substance,"[what, molecules, include, fluorine, ,, sodium, and, magnesium, ?]"
1575,ENTY,sport,"[what, was, the, name, of, the, ball, game, played, by, the, mayans, ?]"
1576,ENTY,cremat,"[what, was, the, sequel, to, the, moon, 's, balloon, ?]"
1577,NUM,money,"[what, is, the, exchange, rate, for, australian, to, american, money, ?]"
1578,DESC,desc,"[what, is, the, origin, of, the, word, `, posh, ', ?]"
1579,DESC,manner,"[how, can, anyone, tell, if, a, female, had, sexual, intercourse, ?]"
1580,NUM,count,"[how, many, states, did, richard, nixon, carry, in, 1972, ?]"
1581,ENTY,techmeth,"[what, basketball, maneuver, did, bert, loomis, invent, ?]"
