A,C,B
ENTY, In what book can I find the story of Aladdin ?,1
ENTY, In what deodorant commercial did tenants have adjoining medicine cabinets ?,1
ENTY, In what film did Steven Spielberg 's dog star as the main character 's dog ?,1
ENTY, In what medium is Stuart Hamblen considered to be the first singing cowboy ?,1
ENTY, In what movie is the number nine found in the title ?,1
ENTY, In what religion was Isis the nature goddess ?,1
ENTY, In what sport are these following numbers relevant ,1
ENTY, In what war was the first submarine used ?,1
ENTY, In what ways did Ivan IV support Russian expansion ?,1
ENTY, In which Kevin Costner movie did Sioux Indians play a role ?,1
ENTY, In which Tennessee Williams play is one of the characters killed and devoured by a mob of starving children ?,1
ENTY, In which sport is there a `` scrum '' ?,1
ENTY, Italy is the largest producer of what ?,1
ENTY, Jude Law acted in which film ?,1
ENTY, Jude Law was in what movie ?,1
ENTY, Madonna advertises for what soft drink ?,1
ENTY, Madonna hocks which soft drink ?,1
ENTY, Mississippi is nicknamed what ?,1
ENTY, Musician Ray Charles plays what instrument ?,1
ENTY, Name Li 'l Abner 's favorite Indian drink .,1
ENTY, Name a Gaelic language .,1
ENTY, Name a Salt Lake City newspaper .,1
ENTY, Name a Sioux language .,1
ENTY, Name a film in which Jude Law acted .,1
ENTY, Name a film that has won the Golden Bear in the Berlin Film Festival ?,1
ENTY, Name a flying mammal .,1
ENTY, Name a golf course in Myrtle Beach .,1
ENTY, Name a medicine commonly used to combat AIDS ?,1
ENTY, Name a movie about the Sioux Indians starring Kevin Costner .,1
ENTY," Name a movie that the actress , Sandra Bullock , had a role in .",1
ENTY, Name a novel written by John Steinbeck .,1
ENTY, Name a product that controls the ripening of apples .,1
ENTY, Name a technique widely used to detect birth defects ?,1
ENTY, Name a tiger that is extinct .,1
ENTY, Name an American made motorcycle .,1
ENTY, Name four comic strips about pilots .,1
ENTY, Name four famous cartoon cats .,1
ENTY, Name of King Arthur 's sword ?,1
ENTY, Name one of the Seven Wonders of the Ancient World .,1
ENTY," Name the 5 words that use all of the letters in the alphabet , except Q , with no repeats .",1
ENTY, Name the French historical period during the reign of Napoleon III .,1
ENTY, Name the Islamic counterpart to the Red Cross .,1
ENTY, Name the disposable razor that `` costs about 19 cents . '',1
ENTY, Name the four stories contained in Edith Wharton 's `` Old New York . '',1
ENTY, Name the men 's cologne that is associated with the sea .,1
ENTY, Name the only extant trilogy of classical Greek plays .,1
ENTY, Name the operating system that runs on IBM-compatible machines .,1
ENTY," Name the product that is `` at your grocer 's , at your fingertips . ''",1
ENTY, Name the ship Beany and Cecil sailed .,1
ENTY, Name the soft drink that is `` number one in the sun . '',1
ENTY, Name the story by Chris Van Allsburg in the which a boy tries to become a great sailor ?,1
ENTY, Name the two mystical ravens Odin has at his command .,1
ENTY, Name the vessel used by the Atari Force in the DC comics .,1
ENTY, Names of books by James A. Michener set in the following locations ?,1
ENTY, On what T.V. show could Tom Terrific be found ?,1
ENTY, On which flight did Fawaz Younis commit air piracy and hostage taking ?,1
ENTY, Ray Charles is best known for playing what instrument ?,1
ENTY, Ray Charles plays which instrument ?,1
ENTY, Stuart Hamblen is considered to be the first singing cowboy of what ?,1
ENTY, Stuart Hamblen is considered to be the first singing cowboy of which medium ?,1
ENTY, The Jewish alphabet is called what ?,1
ENTY, The Jewish alphabet is known as what ?,1
ENTY, The corpus callosum is in what part of the body ?,1
ENTY, The operating system that runs on IBM-compatible machines is called what ?,1
ENTY, The second most popular sport worldwide is what ?,1
ENTY, The trials resulting from World War II are known as what ?,1
ENTY," To get the most caffeine , what soda should I drink ?",1
ENTY, To what does Microsoft 's Windows 3 owe its success ?,1
ENTY, What 's a Craps player called ?,1
ENTY, What 's a `` Drinker respirator '' better known as ?,1
ENTY, What 's a male witch called ?,1
ENTY, What 's an easy way to count the approximate number of fish in a lake ?,1
ENTY, What 's an infant seal called ?,1
ENTY, What 's another name for aspartame ?,1
ENTY, What 's another word that means `` knows all '' ?,1
ENTY, What 's approaching when a cyclist shouts ,1
ENTY, What 's been the ruin of many a poor boy in New Orleans ?,1
ENTY, What 's bottled in jeroboams ?,1
ENTY, What 's destroyed in Genesis 19 ,1
ENTY, What 's known as The queen of Drinks ?,1
ENTY," What 's played at Wembley Stadium , London , every May ?",1
ENTY, What 's the Hungarian word for pepper ?,1
ENTY, What 's the International Lawn Tennis Challenge Trophy usually called ?,1
ENTY, What 's the No. 1 killer in industrialized countries ?,1
ENTY, What 's the Southern dish made of pigs ' small intestines ?,1
ENTY, What 's the U.S. Navy hymn ?,1
ENTY, What 's the best way to lose the flab under your chin and around your face ?,1
ENTY, What 's the biggest-selling U.S. magazine aimed at a black audience ?,1
ENTY, What 's the colored part of the eye called ?,1
ENTY, What 's the common name for a Japanese dwarf tree ?,1
ENTY, What 's the common name for acetylsalicylic acid ?,1
ENTY, What 's the dumbest domesticated animal ?,1
ENTY, What 's the favorite food of dragonflies ?,1
ENTY, What 's the geographic term for the submerged fringe of a continent ?,1
ENTY, What 's the green variety of beryl called ?,1
ENTY, What 's the hardest substance in the human body ?,1
ENTY, What 's the highest hand in straight poker ?,1
ENTY, What 's the highest possible bid in Contract Bridge ?,1
ENTY, What 's the highest-ranking suit in bridge ?,1
ENTY, What 's the international radio code word for the letter B ?,1
ENTY, What 's the international radio code word for the letter F ?,1
ENTY, What 's the largest U.S. agricultural crop by weight ?,1
ENTY, What 's the largest letter in Salvador Dali 's signature ?,1
ENTY, What 's the literary term for a play on words ?,1
ENTY, What 's the main vegetable in vichyssoise ?,1
ENTY, What 's the most abundant element in the sun ?,1
ENTY, What 's the most common non-contagious disease in the world ?,1
ENTY, What 's the most commonly-spoken language in Belgium ?,1
ENTY, What 's the most delicate-tasting member of the onion family ?,1
ENTY, What 's the most extensively grown and eaten food ?,1
ENTY, What 's the most popular contact lens color ?,1
ENTY, What 's the most popular form of bridge ?,1
ENTY, What 's the most popular form of gambling with women in Las Vegas ?,1
ENTY, What 's the most popular four-player game of all time ?,1
ENTY, What 's the most powerful card in Euchre ?,1
ENTY, What 's the name of Jacques Cousteau 's research ship ?,1
ENTY, What 's the name of a golf course in Myrtle Beach ?,1
ENTY, What 's the name of the Tampa newspaper ?,1
ENTY, What 's the name of the Tokyo Stock Exchange ?,1
ENTY, What 's the name of the tiger that advertises for Frosted Flakes cereal ?,1
ENTY, What 's the official animal of Canada ?,1
ENTY, What 's the official language of Algeria ?,1
ENTY, What 's the only color Johnny Cash wears on stage ?,1
ENTY, What 's the only mammal that can 't jump ?,1
ENTY, What 's the only work by Michelangelo that bears his signature ?,1
ENTY, What 's the second-biggest-selling magazine in America ?,1
ENTY, What 's the second-lightest element ?,1
ENTY, What 's the second-most-used murder weapon in the U.S. ?,1
ENTY, What 's the second-most-used vowel in English ?,1
ENTY, What 's the sequel to Alice 's Adventures in Wonderland ?,1
ENTY, What 's the shape of a camel 's spine ?,1
ENTY, What 's the singular of dice ?,1
ENTY, What 's the slowest Olympic swimming stroke ?,1
ENTY, What 's the symbol for the zodiacal sign Gemini ?,1
ENTY, What 's the tallest piece on a chessboard ?,1
ENTY, What 's the term for a bet before cards are dealt ?,1
ENTY, What 's the term for a limestone deposit rising from the floor of a cave ?,1
ENTY, What 's the term for a young fox ?,1
ENTY, What 's the term for an organism that lives on or in another ?,1
ENTY, What 's the term for any four-sided figure ?,1
ENTY, What 's the traditional drink at the Kentucky Derby ?,1
ENTY, What 's the word for broken glass or sharp rocks embedded in cement on top of a wall ?,1
ENTY, What 's the world 's most common compound ?,1
ENTY," What 12-hour cold medicine uses the formula `` 6 , 6 , 12 '' in its ads ?",1
ENTY, What 1895 H.G. Wells novel was written under the title The Chronic Argonauts ?,1
ENTY, What 1915 film was the first to gross $5 million ?,1
ENTY, What 1927 silent film received an international revival in 1981 ?,1
ENTY," What 1942 espionage movie reunited director John Huston with Maltese Falconers Humphrey Bogart , Mary Astor , and Sidney Greenstreet ?",1
ENTY," What 1950 film won seven Oscars , including best picture ?",1
ENTY, What 1953 film won Frank Sinatra a best supporting actor Oscar ?,1
ENTY, What 1956 Grace Metalious novel was on the best-seller list for two years ?,1
ENTY, What 1963 Joseph L. Mankiewicz film cost $28 million ?,1
ENTY, What 1964 film introduced the song My Kind of Town ?,1
ENTY, What 1965 film had Jack Lemmon portraying a cartoonist ?,1
ENTY, What 1966 boob tube bomb took astronauts back to prehistoric times ?,1
ENTY, What 1976 Deep Throat clone provides the leading lady with a second larynx ?,1
ENTY, What 1981 Candice Bergen-Jacqueline Bisset movie was a remake of 1943 's Old Acquaintance ?,1
ENTY, What 2 statues did France give to other countries ?,1
ENTY, What Aesop 's fable has the moral ,1
ENTY, What African animals are known as The Big Five ?,1
ENTY," What Boris Pasternak book sold 5 , 0 copies to become the fiction best-seller of 1958 ?",1
ENTY, What British TV series featured Emma Peel ?,1
ENTY, What British TV series inspired All in the Family ?,1
ENTY," What Broadway musical featured the song , `` If I were a rich man ? ''",1
ENTY, What Broadway musical was inspired by Cervantes 's Don Quixote ?,1
ENTY, What Broadway show introduced the song Some Enchanted Evening ?,1
ENTY, What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?,1
ENTY, What Caribbean cult did Marcus Garvey originate ?,1
ENTY, What D.H. Lawrence novel was originally titled Tenderness ?,1
ENTY, What Dickens novel has David carrying the message `` Barkis is willin '' to Peggy ?,1
ENTY, What Don McLean song laments the day Buddy Holly died ?,1
ENTY," What English word comes from the Old French covrefeu , meaning cover fire ?",1
ENTY, What English word contains the most letters ?,1
ENTY, What English word has the most letters ?,1
ENTY, What Erica Jong novel deals with Isadora Wing 's fear ?,1
ENTY, What Ernest Hemingway novel had the working title Fiesta ?,1
ENTY, What European race sees the winner of its mountain stage awarded a jersey with large red polka dots ?,1
ENTY, What Frederick Forsyth novel chronicles the toppling of an African government by mercenaries ?,1
ENTY, What George Harrison tune sounded too much like He 's So Fine by The Chiffons ?,1
ENTY, What Grand Slam golf tournament wasn 't held between 1940 and 1945 ?,1
ENTY, What Hermann Hesse book gave its name to a rock group ?,1
ENTY, What Hollywood dog died in the arms of Jean Harlow in 1932 ?,1
ENTY, What Homerian epic chronicles events toward the end of the Trojan Wars ?,1
ENTY, What Irwin Allen bomb has Richard Widmark saying he 'll be `` the first officer in history to get his butt kicked by a mess of bugs ! '' ?,1
ENTY, What Italian liner was hijacked in 1985 ?,1
ENTY, What J.R.R. Tolkien book features Bilbo Baggins as the central character ?,1
ENTY, What J.R.R. Tolkien book features Gimli as a central character ?,1
ENTY, What James Michener book is subtitled Spanish Travels and Reflections ?,1
ENTY, What Jewish holiday saw the start of the 1973 Mideast War ?,1
ENTY," What John Steinbeck novel portrays the Joad family , driven from the Oklahoma dustbowl ?",1
ENTY, What Judith Rossner novel was made into a film starring Diane Keaton ?,1
ENTY, What Jules Verne novel features scientists held captive in the submarine Nautilus ?,1
ENTY, What Kennedy was married to Ethel ?,1
ENTY, What Leon Uris novel dealt with the Russian capture of Berlin ?,1
ENTY, What Leoncavallo opera features a prologue by a clown ?,1
ENTY, What Lewis Carroll book introduced Humpty Dumpty to the world ?,1
ENTY, What Marx Brothers movie centers on a stolen painting ?,1
ENTY, What Mary Tyler Moore Show regular came into the world as Tadeus Wladyslaw Konopka ?,1
ENTY," What Michelangelo sculpture is in Saint Peter 's Cathedral , Basilica , ?",1
ENTY, What Morris West novel deals with Russian bishop who becomes Pope ?,1
ENTY, What Muhammad Ali maneuver was George Foreman the first victim of ?,1
ENTY, What Nantucket shipwreck killed more divers exploring it than the 52 people it sank with ?,1
ENTY, What Nevil Shute novel is about the doomed survivors of a nuclear war ?,1
ENTY, What Peter Blatty novel recounts the horrors of Regan MacNeil 's possession by the devil ?,1
ENTY," What Robert Louis Stevenson novel was inspired by Deacon William Brodie , a cabinetmaker by day and burglar by night ?",1
ENTY, What Russian novel embracing more the 5 characters is set in the Napoleonic Wars ?,1
ENTY, What Shakespeare play opens with the line ,1
ENTY, What Shakespearean play featured Shylock ?,1
ENTY, What Sinatra hit did he dooby dooby do in ?,1
ENTY, What Stephen King novel is set in a graveyard for pets ?,1
ENTY, What Stephen Sondheim ballad ends ,1
ENTY, What TV game show once saw a contestant admit to picking his toes in the shower ?,1
ENTY, What TV quiz show left the air in 1975 to the tune of Vera Lynn 's We 'll Meet Again ?,1
ENTY, What TV series changed the names to protect the innocent ?,1
ENTY," What TV series featured Neal , a martini-drinking St. Bernard ?",1
ENTY, What TV series features the adventures of a married couple named Jonathan and Jennifer ?,1
ENTY," What TV series saw many of its aquatic scenes shot at Silver Springs , Florida ?",1
ENTY, What TV show chronicled the lives of Katy Holstrum and Congressman Glen Morley ?,1
ENTY, What TV show did John Sebastian sing the theme for ?,1
ENTY," What TV show premiered on January 15 , 1981 ?",1
ENTY, What TV station did Mary Richards work for ?,1
ENTY, What Tom Wolfe book is about the Mercury astronauts ?,1
ENTY, What Triple Crown-winning horse took the 1973 Belmont Stakes by 31 lengths ?,1
ENTY, What Vladimir Nabokov novel features Professor Humbert in love with a 12-year-old girl ?,1
ENTY, What William Makepeace Thackeray novel was made into a film by Stanley Kubrick ?,1
ENTY, What William Styron book is about a black preacher who leads a slave revolt ?,1
ENTY," What World War I battle saw 6 , 0 troops killed in one day ?",1
ENTY, What `` little red car '' is mentioned in pop singer Prince 's hit song ?,1
ENTY, What `` magic '' does Mandrake employ ?,1
ENTY," What `` melts in your mouth , not in your hands '' .",1
ENTY, What ability has the silkworm moth lost through domestication ?,1
ENTY, What after-dinner treat was invented in 1916 at the George Jung noodle factory in Los Angeles ?,1
ENTY, What age followed the Bronze Age ?,1
ENTY, What album put The Beatles on the cover of Time in 1967 ?,1
ENTY, What alloy do copper and tin form ?,1
ENTY," What anesthetic did Queen Victoria allow to be used for the birth of her seventh child , in 1853 ?",1
ENTY, What animal 's tail is called a brush ?,1
ENTY, What animal causes the biggest threat to humans ?,1
ENTY, What animal dined on bread and oysters with a carpenter ?,1
ENTY, What animal do buffalo wings come from ?,1
ENTY, What animal has been called The Poor Man 's Cow ?,1
ENTY, What animal has killed the most people ?,1
ENTY, What animal has the best hearing ?,1
ENTY, What animal has the biggest eyes ?,1
ENTY, What animal migrates the farthest ?,1
ENTY, What animal occurs in Spielberg 's `` Jaws '' ?,1
ENTY," What animal received royal assent as an emblem of Canada on March 24 , 1975 ?",1
ENTY, What animal was the heat-seeking missile called the Sidewinder named for ?,1
ENTY, What animals acted as lapwarmers for American colonists in church ?,1
ENTY, What animals can live the longest without food ?,1
ENTY, What animals did The Amazing Three masquerade as ?,1
ENTY, What animals do you find in the stock market ?,1
ENTY, What are Halloween 's colors ?,1
ENTY, What are John C. Calhoun and Henry Clay known as ?,1
ENTY, What are `` darning needles '' and `` horse stingers '' better known as ?,1
ENTY, What are all the different kinds of contraceptives ?,1
ENTY, What are all the different types of pizza ?,1
ENTY, What are birds descendents of ?,1
ENTY, What are close encounters of the first and second kind ?,1
ENTY, What are common methods used to regulate monopolies ?,1
ENTY, What are different products of petroleum ?,1
ENTY, What are dinosaur droppings called ?,1
ENTY, What are emblazoned on the Jolly Roger ?,1
ENTY, What are fingernails made of ?,1
ENTY, What are new computer games for Windows 95 or 98 ?,1
ENTY," What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?",1
ENTY, What are pushed and coupled in hump yards ?,1
ENTY, What are some colorful flowers that will bloom in the fall in New England ?,1
ENTY, What are some good exercises for kids to do ?,1
ENTY, What are some important events of the 1830 's ?,1
ENTY, What are some of Australia 's native flora ?,1
ENTY, What are some of the significant historical events of the 1990s ?,1
ENTY, What are some science fair projects for 8th graders ?,1
ENTY, What are some tips for building a fire in a fireplace ?,1
ENTY, What are some translations of the phrase `` Thank-you '' ?,1
ENTY, What are some ways to help someone with Chicken Pox ?,1
ENTY, What are super balls made of ?,1
ENTY, What are the 10 plagues of Egypt ?,1
ENTY, What are the 28 tenses in the English language ?,1
ENTY, What are the 7 Wonders of the World ?,1
ENTY, What are the 7 articles of the constitution ?,1
ENTY," What are the 7 principles of learning from the Institute for Research on Learning , IRL ?",1
ENTY, What are the Cleveland Indians also called ?,1
ENTY, What are the ages in comic book lingo ?,1
ENTY, What are the best ways to improve employee morale at low cost ?,1
ENTY, What are the chemicals used in glowsticks ?,1
ENTY, What are the components of polyester ?,1
ENTY, What are the conjugations of wake and woke ?,1
ENTY, What are the developmental stages of a swimmer ?,1
ENTY, What are the different approaches of systems analysis ?,1
ENTY, What are the different types of plastic ?,1
ENTY, What are the diseases that can be cured by black cumin ?,1
ENTY, What are the first and last letters of the Greek alphabet ?,1
ENTY, What are the first six words of Dickens 's A Tale of Two Cities ?,1
ENTY, What are the first ten amendements passed ?,1
ENTY, What are the five basic swimming strokes ?,1
ENTY, What are the four elements ?,1
ENTY, What are the four most widely-used languages in North America ?,1
ENTY, What are the four natural aids used in riding a horse ?,1
ENTY, What are the historical trials following World War II called ?,1
ENTY, What are the ingredients of Coca-Cola ?,1
ENTY, What are the languages spoken by the natives in Afghanistan ?,1
ENTY, What are the main blood vessels ?,1
ENTY, What are the most albums sold by one artist or band ?,1
ENTY, What are the most common breeding birds in the U.S. ?,1
ENTY, What are the most common elements in seawater ?,1
ENTY, What are the most common elements in the Earth 's crust ?,1
ENTY, What are the names of all the U.S. Navy aircraft carriers ?,1
ENTY, What are the names of the different toes ?,1
ENTY, What are the rites accompanying the circumcision of a newly born-child in Judaism called ?,1
ENTY, What are the seven wonders of the world ?,1
ENTY, What are the shortest and the longest songs ever produced ?,1
ENTY, What are the signs of a country going into a recession ?,1
ENTY, What are the snakes of New England ?,1
ENTY, What are the stars made of ?,1
ENTY, What are the three animals in Sheila Burnford 's The Incredible Journey ?,1
ENTY, What are the three secondary colors ?,1
ENTY, What are the titles of some R-Rated Sony Playstation games ?,1
ENTY, What are the top 5 fiction books of all time ?,1
ENTY, What are the top vegetable crops in the world ?,1
ENTY, What are the two languages of Malta ?,1
ENTY, What are the two largest birds on earth ?,1
ENTY, What are the various ways in which one can measure IT User Satisfaction Level ?,1
ENTY, What are the wolverine habits ?,1
ENTY, What are three ways in which wind is created on the earth ?,1
ENTY, What are two plants that clothes are made from ?,1
ENTY, What are you caught in if a haboob blows up ?,1
ENTY, What articles of clothing are tokens in Monopoly ?,1
ENTY, What astronomical phenomenon takes place in Jan. 1999 ?,1
ENTY, What auto race was Wilbur Reed the first to win three times ?,1
ENTY, What award is the `` Oscar '' of advertising ?,1
ENTY," What baseball outcome required nine balls in 1879 , eight balls in 1880 and seven balls in 1881 ?",1
ENTY, What basketball maneuver did Bert Loomis invent ?,1
ENTY," What became the biggest cash crop in the U.S. in 1983 , surpassing corn ?",1
ENTY, What beer 's name is translated as `` lion brew '' ?,1
ENTY, What beer advertised that it had `` three rings '' ?,1
ENTY, What beer is ` rockin ' America ? '',1
ENTY," What beer tells us , `` Grab all the gusto you can get . '' ?",1
ENTY, What bird can swim but can 't fly ?,1
ENTY," What blew up at Lakehurst , New Jersey , on May 6 , 1977 ?",1
ENTY, What blood sport features a movement called a veronica ?,1
ENTY, What board game does a `` wood-pusher '' play poorly ?,1
ENTY, What book did Aaron Hass write ?,1
ENTY, What book does Holden Caulfield appear in ?,1
ENTY, What book is subtitled The Preservation of Favoured Races in the Struggle for Life ?,1
ENTY, What book is the follow-up to Future Shock ?,1
ENTY, What book opens ,1
ENTY, What book was F. Scott Fitzgerald working on when he died in Hollywood in 194 ?,1
ENTY, What bowl game began as an East-West contest between Michigan and Stanford in 192 ?,1
ENTY, What brand of jeans did Calvin Klein admit in a 1984 interview he felt more comfortable wearing ?,1
ENTY, What brand of white rum is still made in Cuba ?,1
ENTY, What breed of dog was the `` Little Rascals '' dog ?,1
ENTY, What can I use to remove the stubborn gummed labels from some diskettes ?,1
ENTY, What can communications satellites offer yachts ?,1
ENTY, What can one see in Reims ?,1
ENTY, What cancer is commonly associated with AIDS ?,1
ENTY, What car was driven in the 199 release of `` Smokey and the Bandit '' ?,1
ENTY, What card game can feature dealer 's choice ?,1
ENTY," What card game derived its name from biritch , or Russian Whist ?",1
ENTY," What card game has variations called Canfield , Klondike and Spider ?",1
ENTY, What card suit originally represented the peasant class ?,1
ENTY, What cards are bullets ?,1
ENTY, What carries sperm up into the pelvic region ?,1
ENTY," What cereal goes `` snap , crackle , pop '' ?",1
ENTY, What chemical in red wine is good for the heart and what exactly does it do to your body ?,1
ENTY, What chemicals are used in lethal injection ?,1
ENTY, What chess outcome results when a player has no legal move ?,1
ENTY, What children 's tale contains the line ,1
ENTY, What chocolate bar created by Frank Mars and his wife is often called a Milky Way with peanuts ?,1
ENTY, What cigarette is `` a whole new world '' ?,1
ENTY, What civil war was fought between 1936 and 1939 ?,1
ENTY, What class is categorized as the bourgeoisie ?,1
ENTY, What class of animals makes up more than two-thirds of known species ?,1
ENTY, What cocktail do you concoct with whisky and sweet vermouth ?,1
ENTY, What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?,1
ENTY," What color , s , appear on boxes of Kodak film ?",1
ENTY, What color Poker chip is usually assigned the lowest value ?,1
ENTY, What color are a cherry tree 's flowers ?,1
ENTY, What color are school buses ?,1
ENTY, What color are seven of every 10 houses in the U.S. ?,1
ENTY, What color are tennis balls ?,1
ENTY, What color are the castellated walls of the Kremlin ?,1
ENTY, What color beans did the ancient Romans refuse to eat ?,1
ENTY, What color bottles do good Rhine wines come in ?,1
ENTY, What color eyes are most sensitive to light ?,1
ENTY, What color flies closest to the staff on Belgium 's flag ?,1
ENTY, What color is Chablis ?,1
ENTY, What color is Mr. Spock 's blood ?,1
ENTY, What color is `` ash '' ?,1
ENTY, What color is an Arctic fox in winter ?,1
ENTY, What color is most often used to symbolize truth ?,1
ENTY, What color is the cross on Switzerland 's flag ?,1
ENTY, What color is the eight-ball in pocket billiards ?,1
ENTY, What color is the lipstick on Boy George 's wax lips at London 's Madame Tussaud 's ?,1
ENTY, What color is the stripe along each side of a Coho salmon ?,1
ENTY, What color of Monopoly properties are landed on most often ?,1
ENTY, What color of dry wine should be served with veal roasts and chops ?,1
ENTY, What color tennis balls are used at Wimbledon ?,1
ENTY, What color was the hundred billionth crayon made by Crayola ?,1
ENTY, What color were Ernest Hemingway 's eyes ?,1
ENTY, What color were their horses ?,1
ENTY, What colors is magenta made of ?,1
ENTY, What colors make up a rainbow ?,1
ENTY, What comic strip sometimes features a mailman named Beasley ?,1
ENTY, What commodity 's shortage was the largest single factor in keeping North American cars off the roads during World War II ?,1
ENTY, What common ailment can 't you catch at the North Pole ?,1
ENTY, What common livestock have the greatest variety of breeds ?,1
ENTY," What common plant has a button , cap , cup , gills , and ring ?",1
ENTY, What computer operating system is on the most computers ?,1
ENTY, What concerts are held in New York this week ?,1
ENTY, What condiment do the Dutch dip their French fries in ?,1
ENTY, What constitutes an adult ?,1
ENTY, What cooking oil has `` corn goodness '' ?,1
ENTY," What creature is the absolute fastest in moving in the world , birds , mammals , etc. , ?",1
ENTY, What creature scares people in the film `` Jaws '' ?,1
ENTY, What credit card features a centurion on its face ?,1
ENTY, What crop failure caused the Irish Famine ?,1
ENTY, What currency is used in Australia ?,1
ENTY, What daily newspaper will `` help you see clearer across the USA '' ?,1
ENTY, What dangles over the tongue from the palate ?,1
ENTY," What deck of cards includes the Wheel of Fortune , the Lovers , and Death ?",1
ENTY, What delicacy is known indelicately as pickled roe ?,1
ENTY, What determines the value of the pearl ?,1
ENTY, What developed a crack in 1835 while tolling the death of U.S. Chief Justice John Marshall ?,1
ENTY, What device provided a new way to listen to music in 1963 ?,1
ENTY," What did 8 , CD NNS VBP TO VB NNP POS NN .",1
ENTY, What did Aaron Hass write ?,1
ENTY, What did Abolitionists try to end ?,1
ENTY, What did Benny Carter play ?,1
ENTY," What did British companies stick 175 , 0 tons of tea into in 1982 ?",1
ENTY, What did Dan Aykroyd and John Belushi quit Saturday Night Live to become ?,1
ENTY, What did Englishman John Hawkins begin selling to New World colonists in 1562 ?,1
ENTY, What did Esquire name Ash Hole of the Year for 1980 ?,1
ENTY, What did Jack exchange with the butcher for a handful of beans ?,1
ENTY, What did Jimmy Stewart invent ?,1
ENTY, What did Louis Cartier invent for aviator Santos Dumont in 1940 ?,1
ENTY, What did Martin Luther post on the church door at Wittenberg ?,1
ENTY, What did Mr. Magoo flog on TV for General Electric ?,1
ENTY, What did San Francisco 's Milt Harper grow that measured 24 inches from tip to tip in 1974 ?,1
ENTY, What did Shostakovich write for Rostropovich ?,1
ENTY, What did The Gas House Gang play ?,1
ENTY, What did Thomas Paine write ?,1
ENTY, What did Tristan come back as ?,1
ENTY, What did Vasco da Gama discover ?,1
ENTY, What did Walter Huston remove to perform in the movie The Treasure of the Sierra Madre ?,1
ENTY, What did Warlock wear on his forehead in Marvel comics ?,1
ENTY, What did Woody Allen call the Japanese gangster film he dubbed into English as a comedy ?,1
ENTY, What did a 16th-century Aztec athlete get for putting a rubber ball through a ring ?,1
ENTY, What did brontosauruses eat ?,1
ENTY, What did people use to freshen their breath before toothpaste ?,1
ENTY, What did the Chinese emperor present to the English soldier Gordon in recognition of his services in quelling rebellions ?,1
ENTY, What did the Congress of Vienna establish ?,1
ENTY, What did the Yalta Conference lead to ?,1
ENTY, What did the ancients call the four great elements ?,1
ENTY, What did the crocodile swallow in Peter Pan ?,1
ENTY, What did the forward-thinking Simon Brothers Bakery of Chicago insert into bagels to boost business ?,1
ENTY, What did the pyramid-builders of Egypt mainly eat ?,1
ENTY, What disease did August von Wassermann develop a specific test for in 196 ?,1
ENTY, What disease does Katharine Hepburn have that makes her voice shake ?,1
ENTY, What disease is the second-biggest killer of North Americans ?,1
ENTY, What disease is transmitted by the Anopheles mosquito ?,1
ENTY," What disease plagued Europe , Africa and Asia ?",1
ENTY, What do Hasidic Jews refrain from while dating ?,1
ENTY, What do I call the sons and daughters of my first cousins ?,1
ENTY, What do Italians call Florence ?,1
ENTY, What do West Indian steel bands use as instruments ?,1
ENTY, What do bicornate animals have two of ?,1
ENTY, What do camels store in their humps ?,1
ENTY, What do chefs call The Master Spice ?,1
ENTY, What do flatfish eat ?,1
ENTY, What do goldfish lose if kept in dimly-lit or running water ?,1
ENTY, What do humans catch zoonose diseases from ?,1
ENTY, What do ladybugs eat ?,1
ENTY, What do manatees eat ?,1
ENTY, What do opposite faces of a die always add up to ?,1
ENTY, What do peacocks mate with ?,1
ENTY, What do penguins eat ?,1
ENTY, What do river otters eat ?,1
ENTY, What do sailors use to measure time ?,1
ENTY, What do the French call La Manche ?,1
ENTY, What do the Japanese call Japan ?,1
ENTY, What do you call a Poker hand with five cards of the same suit ?,1
ENTY, What do you call a `` twirl '' in ballet ?,1
ENTY, What do you call a book of quotes ?,1
ENTY," What do you call a date that contains sequencing numbers , like 9-8-98 ?",1
ENTY, What do you call a group of geese ?,1
ENTY, What do you call a section of your finger from one joint to another ?,1
ENTY, What do you call the feeling of having experienced something before ?,1
ENTY, What do you get by adding Lactobacillus bulgaricus to milk ?,1
ENTY, What do you get by mixing gin and vermouth ?,1
ENTY, What document did President Andrew Johnson want a copy of placed under his head upon his burial ?,1
ENTY, What does El Nino mean in spanish ?,1
ENTY, What does Final Four refer to in the sports world ?,1
ENTY, What does God create in the first sentence of the Bible ?,1
ENTY, What does Knight Ridder publish ?,1
ENTY, What does Playboy title its `` continuing dialog on contemporary issues between Playboy and its readers '' ?,1
ENTY, What does Salk vaccine prevent ?,1
ENTY, What does Visine get out ?,1
ENTY, What does Warner Bros. call a flightless cuckoo ?,1
ENTY, What does a chairbound basophobic fear ?,1
ENTY, What does a chef coddle eggs in ?,1
ENTY, What does a chiropodist treat ?,1
ENTY, What does a collier mine ?,1
ENTY, What does a deltiologist collect ?,1
ENTY, What does a dipsomaniac crave ?,1
ENTY, What does a farrier put shoes on ?,1
ENTY, What does a heliologist study ?,1
ENTY, What does a man suffering from diphallic terata have ?,1
